genre,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Folk,Lake Street Dive,0.175,0.675,288118,0.777,0.00703,0.297,-4.699,0.0392,105.022,0.507,45
Folk,Real Estate,0.0607,0.523,227280,0.894,0.624,0.235,-6.467,0.0281,140.735,0.842,45
Jazz,Russ Freeman,0.07,0.765,246400,0.699,0.0,0.0759,-7.529,0.0263,110.414,0.633,33
Dance,Nelly,0.199,0.81,292160,0.649,7.66e-05,0.171,-9.094,0.0908,74.383,0.59,50
Soundtrack,John Williams,0.784,0.0969,361627,0.227,0.842,0.128,-15.471,0.037,62.992,0.0675,36
Rock,Whitney,0.893,0.581,237973,0.4,0.576,0.161,-8.739,0.0291,112.331,0.433,63
Pop,Sebastian Yatra,0.693,0.727,198280,0.526,0.0,0.116,-6.307,0.0378,105.086,0.681,68
Hip-Hop,Young Thug,0.147,0.577,402067,0.557,0.0,0.21,-6.894,0.114,119.977,0.177,59
Folk,City and Colour,0.293,0.563,190067,0.725,0.000525,0.361,-6.366,0.0317,102.962,0.677,39
Soul,D'Angelo,0.702,0.511,286800,0.402,0.00014,0.11,-10.695,0.219,83.339,0.503,48
Children's Music,Juice Music,0.585,0.967,79253,0.366,0.0,0.0596,-12.628,0.113,110.048,0.964,0
Blues,Jimmy Reed,0.973,0.744,156973,0.349,0.0155,0.108,-9.234,0.0385,92.433,0.734,27
Soundtrack,Randy Edelman,0.988,0.0623,200973,0.021,0.913,0.0698,-29.708,0.0451,58.082,0.0339,20
Electronic,Zero 7,0.0123,0.678,238040,0.715,0.000145,0.163,-7.656,0.0316,116.995,0.902,25
Comedy,Stephen Lynch,0.515,0.606,126413,0.814,0.0,0.219,-6.94,0.215,132.043,0.84,30
Jazz,Benny Sings,0.312,0.767,165893,0.371,0.0434,0.0809,-14.36,0.033,95.01,0.598,35
Pop,Henry Jamison,0.398,0.579,233289,0.559,0.000206,0.0817,-7.338,0.0325,151.985,0.328,69
Jazz,The Cat Empire,0.0297,0.621,194693,0.816,0.0949,0.324,-5.007,0.0409,85.023,0.72,48
Folk,Foxwarren,0.19,0.656,256917,0.324,0.63,0.121,-12.341,0.128,80.982,0.11,53
Soul,Two Another,0.135,0.815,240104,0.81,0.00954,0.54,-5.842,0.0787,115.997,0.612,55
World,Shane & Shane,0.203,0.509,287080,0.276,0.0,0.15,-10.406,0.0301,109.707,0.138,51
Movie,Cliff Edwards,0.816,0.642,122827,0.27,0.0,0.0726,-12.059,0.323,164.488,0.795,1
Children’s Music,D'Angelo,0.16,0.838,430800,0.304,0.0257,0.0828,-9.975,0.0628,112.618,0.221,60
Indie,Andrew Bird,0.174,0.453,242147,0.717,0.00243,0.12,-7.724,0.0754,111.019,0.393,45
Reggae,The Pioneers,0.574,0.707,161320,0.536,0.437,0.0953,-9.459,0.171,170.863,0.966,33
Soul,Brandt Orange,0.723,0.435,284870,0.398,0.0,0.193,-8.77,0.0385,111.993,0.289,47
Pop,Meek Mill,0.0242,0.589,223973,0.658,0.0,0.118,-5.288,0.203,77.521,0.251,72
Soundtrack,Gustavo Santaolalla,0.874,0.635,167067,0.256,0.95,0.107,-14.187,0.0355,92.025,0.249,51
Rap,Preme,0.538,0.749,223173,0.641,0.0,0.0775,-5.268,0.0444,140.08,0.409,66
Soul,LEISURE,0.201,0.875,232447,0.483,0.0113,0.151,-9.275,0.0918,105.023,0.443,52
Children's Music,The Countdown Kids,0.383,0.529,131907,0.538,7.45e-06,0.328,-11.549,0.0265,82.517,0.797,0
Movie,Susan Egan,0.469,0.473,256994,0.476,0.0,0.218,-8.038,0.0807,100.185,0.317,13
Indie,Teen Daze,0.964,,237547,0.151,0.503,0.307,-16.13,0.0352,147.697,0.0517,50
Electronic,Moby,0.159,0.687,303440,0.63,0.953,0.105,-9.82,0.0461,126.004,0.108,25
World,Citipointe Live,0.00498,0.368,558973,0.463,6.02e-05,0.129,-9.916,0.0305,180.108,0.0475,36
World,Jai Uttal,0.938,0.61,905867,0.244,0.897,0.113,-16.337,0.0313,180.033,0.54,29
Soul,THEY.,0.0779,0.68,190358,0.909,0.0,0.378,-4.74,0.0822,147.927,0.809,42
Blues,Billy Stewart,0.788,0.435,129907,0.33,0.000544,0.118,-15.266,0.03,173.526,0.867,28
World,Pat Barrett,0.816,0.276,323520,0.249,2.16e-06,0.0994,-8.751,0.0304,136.231,0.158,52
Soul,Mura Masa,0.182,0.779,170455,0.74,0.806,0.0877,-9.084,0.424,176.061,0.458,45
Indie,Eves Karydas,0.68,0.603,244267,0.337,0.00086,0.102,-10.325,0.0332,139.824,0.164,61
Movie,Chantal Goya,0.24,0.576,210427,0.814,0.0,0.201,-7.64,0.0643,132.228,0.802,21
Alternative,Five Finger Death Punch,0.000242,0.565,262853,0.922,0.0,0.112,-4.936,0.117,130.025,0.393,42
Rap,Rich Homie Quan,0.038,0.728,176675,0.62,0.0,0.342,-7.533,0.0434,81.998,0.885,64
Hip-Hop,BONES,0.229,0.653,137000,0.581,6.28e-06,0.115,-10.909,0.0695,83.96,0.116,51
Soul,St. Paul & The Broken Bones,0.294,0.61,196867,0.752,0.0755,0.116,-5.062,0.0389,89.995,0.832,59
Children’s Music,Rainbow Kitten Surprise,0.0492,0.641,225413,0.531,0.0,0.118,-7.243,0.157,135.564,0.194,61
Comedy,Mitch Hedberg,0.49,0.406,180000,0.391,0.000277,0.469,-14.742,0.874,55.484,0.66,31
Rock,Badflower,0.00462,0.591,229667,0.797,1.3e-06,0.137,-4.675,0.0297,104.014,0.351,54
World,Cantoma,0.0937,0.655,268573,0.664,0.498,0.14,-9.094,0.0327,109.993,0.679,37
Opera,Gaetano Donizetti,0.982,0.247,247933,0.138,0.000208,0.255,-18.226,0.0779,78.005,0.0393,11
Classical,Avantasia,0.0015,0.237,672573,0.871,0.00292,0.132,-4.382,0.0402,93.004,0.293,45
Ska,Less Than Jake,0.0367,0.537,126373,0.921,0.0,0.0517,-2.977,0.0591,98.029,0.973,35
Alternative,Five Finger Death Punch,0.000595,0.557,262440,0.886,9.84e-05,0.0904,-4.196,0.0498,114.025,0.17,66
Folk,Spoon,0.112,0.692,260080,0.9,5.44e-05,0.173,-4.273,0.0972,79.038,0.931,53
Folk,Robert Palmer,0.00701,0.677,192440,0.748,3.99e-05,0.093,-12.328,0.038,146.03,0.746,48
Blues,Joe Bonamassa,0.000388,0.344,400240,0.725,0.0146,0.112,-5.368,0.032,178.788,0.706,37
Country,Tim McGraw,0.0836,0.471,213399,0.791,0.0,0.0868,-4.817,0.0506,128.007,0.355,59
Indie,Wild Rivers,0.587,0.579,247794,0.38,0.0,0.107,-7.403,0.0336,144.387,0.338,54
World,Dean Evenson,0.99,0.248,255229,0.0527,0.954,0.0853,-22.65,0.0409,138.673,0.102,26
World,Park Hyo Shin,0.923,0.39,299938,0.118,1.9e-06,0.107,-15.537,0.0309,140.12,0.235,28
Dance,Niall Horan,0.322,0.709,242792,0.68,0.0,0.122,-7.954,0.0348,126.961,0.818,57
World,Aphex Twin,0.941,0.227,341880,0.293,0.965,0.11,-18.071,0.0447,138.386,0.0337,28
Pop,Why Don't We,0.0211,0.663,173053,0.715,2.6e-05,0.85,-4.536,0.07,77.024,0.607,64
Rap,Kanye West,,0.667,236120,0.423,0.0,0.193,-7.146,0.0822,125.116,0.156,70
Blues,Bigg Robb,0.222,0.699,351532,0.502,0.0,0.124,-6.976,0.145,142.006,0.687,28
Reggae,Damian Marley,0.318,0.538,239707,0.655,0.0,0.152,-7.377,0.308,113.283,0.693,47
Rock,John Prine,0.613,0.577,161867,0.419,0.0,0.361,-11.945,0.0374,163.942,0.855,53
Classical,Wolfgang Amadeus Mozart,0.977,0.2,271507,0.194,0.869,0.362,-18.541,0.0364,95.47,0.0634,41
Movie,Randy Newman,0.834,0.0828,167760,0.196,8.19e-06,0.116,-17.521,0.0414,65.489,0.0805,14
Folk,Damien Rice,0.817,0.48,318023,0.125,0.000109,0.453,-14.061,0.0333,116.391,0.233,43
Alternative,X,0.0871,0.608,144821,0.791,1.81e-06,0.0868,-5.441,0.0306,92.743,0.722,44
Rap,Pouya,0.0042,0.77,135732,0.853,0.000961,0.0936,-3.849,0.221,164.037,0.615,63
World,UPPERROOM,0.102,0.378,720266,0.431,4.49e-06,0.0776,-9.339,0.0353,127.847,0.077,37
Soundtrack,James Horner,0.927,0.152,204067,0.101,0.9,0.201,-25.083,0.0429,71.049,0.033,28
Ska,Against Me!,2.04e-05,0.247,200040,0.727,0.399,0.115,-5.269,0.0328,171.205,0.444,31
Blues,Bo Diddley,0.844,0.479,142427,0.569,0.000196,0.0882,-12.203,0.0341,105.513,0.886,30
Blues,Delbert McClinton,0.163,0.503,214467,0.657,0.00189,0.264,-9.002,,170.224,0.749,22
Soul,Manwolves,0.0304,0.576,212385,0.769,9.49e-05,0.0642,-4.276,0.0545,146.026,0.707,41
World,Desperation Band,0.491,0.284,288547,0.262,0.0,0.253,-9.238,0.0304,148.119,0.153,35
Electronic,Hot Chip,0.113,0.715,329169,0.64,0.0418,0.0848,-7.168,0.0317,113.507,0.4,52
Anime,Superfly,0.112,0.537,255373,0.91,5.07e-06,0.0922,-4.455,0.181,108.065,0.135,46
Pop,Enrique Iglesias,0.0283,0.674,231653,0.87,6.3e-06,0.145,-4.688,0.0452,125.943,0.26,60
World,Casting Crowns,0.168,0.439,282453,0.72,0.0,0.988,-4.619,0.0366,79.032,0.39,27
Children’s Music,Dave Rawlings Machine,0.41,0.473,294533,0.309,9.83e-06,0.143,-10.364,0.0305,120.168,0.37,55
Alternative,Cults,0.115,0.374,204400,0.697,0.893,0.343,-6.758,0.0331,77.549,0.493,49
Rock,Florida Georgia Line,0.0256,0.514,181600,0.864,0.0,0.103,-3.246,0.0502,94.927,0.471,67
Jazz,Chuck Loeb,0.578,0.665,311253,0.645,0.0849,0.392,-7.959,0.0288,143.981,0.693,29
World,Covenant Worship,0.468,0.223,581083,0.386,0.0,0.927,-9.44,0.0315,72.599,0.176,30
Comedy,Jim Norton,0.787,0.447,148720,0.963,0.0,0.874,-4.065,0.938,170.326,0.134,22
World,Shane & Shane,0.432,0.3,328889,0.365,1.68e-06,0.669,-8.368,0.0288,105.831,0.125,50
Reggae,Slightly Stoopid,0.0674,0.76,241480,0.666,0.0,0.119,-7.258,0.0402,88.096,0.86,31
Opera,Giacomo Puccini,0.967,0.198,180293,0.283,0.639,0.172,-12.662,0.0353,77.027,0.0664,14
Electronic,Nicola Cruz,0.718,0.647,263689,0.397,0.0648,0.0974,-13.234,0.0816,179.868,0.179,50
Electronic,Minnesota,0.0497,0.669,190119,0.793,4.86e-05,0.142,-6.898,0.153,127.994,0.439,35
World,"Phillips, Craig & Dean",0.391,0.486,316464,0.611,0.000771,0.142,-7.847,0.0327,136.263,0.265,38
Comedy,Eugene Mirman,0.889,0.561,207667,0.399,0.0,0.763,-14.214,0.947,82.266,0.662,29
Classical,Wolfgang Amadeus Mozart,0.987,0.173,463000,0.0154,0.753,0.088,-25.193,0.0459,131.12,0.0734,38
Jazz,Charlie Haden,0.967,0.496,262880,0.0156,0.956,0.124,-28.544,0.051,121.267,0.129,34
Jazz,B.B. King,0.344,0.547,324733,0.46,0.442,0.0983,-8.759,0.0256,90.768,0.543,54
Blues,Kenne' Wayne,0.182,0.884,214707,0.534,0.00128,0.269,-9.658,0.094,105.021,0.849,20
Folk,Imogen Heap,0.8,0.805,215481,0.371,0.0,0.12,-10.721,0.0352,119.974,0.808,42
Soul,EXES,0.337,0.582,235636,0.474,0.000352,0.159,-9.653,0.0347,109.902,0.12,52
Soundtrack,Dario Marianelli,0.819,0.459,120213,0.309,0.349,0.114,-16.702,0.051,150.529,0.533,25
Jazz,Stan Getz,0.986,0.394,346160,0.0755,0.845,0.165,-17.782,0.035,65.409,0.208,35
Soul,Rag'n'Bone Man,0.0386,0.623,228520,0.797,0.000268,0.133,-4.887,0.264,164.006,0.373,58
Children’s Music,Ozzy Osbourne,0.000963,0.578,239827,0.937,2.25e-06,0.4,-3.926,0.0724,137.937,0.769,56
Comedy,Mitch Hedberg,0.251,0.4,87333,0.494,0.000406,0.542,-13.514,0.722,73.118,0.736,31
Folk,Crywank,0.902,0.723,245133,0.304,3.51e-06,0.11,-14.893,0.194,115.208,0.376,40
Reggae,311,0.0275,0.684,170173,0.879,0.0,0.0591,-8.708,0.0637,92.43,0.822,30
Soul,RY X,0.734,0.482,229533,0.279,0.0551,0.106,-15.37,0.0283,92.586,0.101,59
Rock,Sufjan Stevens,0.986,0.51,239508,0.16,0.017,0.113,-21.03,0.0395,170.063,0.383,63
Reggae,Slightly Stoopid,0.0453,0.585,213493,0.763,0.000153,0.353,-6.132,0.152,167.693,0.881,33
Dance,Sonic Youth,0.096,0.52,295813,0.858,0.588,0.14,-7.914,0.0358,76.761,0.444,48
Jazz,Thievery Corporation,0.318,0.628,186493,0.569,0.921,0.0877,-9.808,0.0762,197.955,0.485,33
Opera,Richard Wagner,0.979,0.102,736426,0.02,0.92,0.167,-26.28,0.0432,81.675,0.0295,9
Rock,Vance Joy,0.0786,0.584,221138,0.677,0.0,0.105,-4.336,0.0297,119.006,0.113,59
Alternative,My Darkest Days,0.0108,0.669,193573,0.916,0.0,0.652,-4.228,0.0488,116.06,0.862,52
Anime,SEKAI NO OWARI,0.0391,0.595,224053,0.902,0.0,0.104,-3.656,0.0785,180.003,0.958,17
Jazz,Count Basie,0.715,0.416,198457,0.604,0.801,0.083,-9.593,0.213,204.929,0.711,37
Rap,Mos Def,0.305,0.72,305280,0.67,0.0,0.0928,-10.224,0.132,121.342,0.566,55
Alternative,Sidewalk Prophets,0.000831,0.562,206402,0.868,0.0,0.106,-4.189,0.0473,122.023,0.476,42
World,Hillsong UNITED,0.00328,0.316,329667,0.823,0.0,0.266,-4.628,0.0313,179.804,0.28,25
R&B,The Japanese House,0.617,0.211,265897,0.407,0.00284,0.0937,-11.223,0.0446,179.915,0.254,52
Movie,Generation B.O.,0.188,0.723,202800,0.917,0.0,0.349,-3.07,0.0336,105.058,0.855,6
Reggaeton,Cardenales Del Exito,0.608,0.77,206293,0.759,0.0,0.0834,-8.032,0.0397,102.019,0.836,26
Children’s Music,AViVA,0.0351,0.549,228904,0.656,1.19e-06,0.129,-6.515,0.0438,180.043,0.594,66
Rap,Casanova,0.00603,0.527,221067,0.885,0.0,0.232,-4.39,0.116,133.304,0.498,48
Pop,Future,0.00191,0.718,173347,0.679,0.0104,0.385,-5.899,0.0706,157.97,0.205,63
Opera,Ian Bostridge,0.985,0.273,328453,0.0413,5.89e-05,0.0865,-23.291,0.0587,84.532,0.0377,8
Movie,Daniel Lavoie,0.836,0.364,159267,0.266,5.83e-05,0.117,-12.156,0.0347,130.048,0.253,22
Jazz,Michelle Simonal,0.566,0.772,173044,0.422,0.000874,0.129,-13.698,0.0349,132.053,0.878,50
Movie,Henri Salvador,0.0782,0.508,151973,0.587,0.0664,0.288,-8.576,0.208,80.459,0.675,3
Ska,The Aggrolites,0.176,0.628,143653,0.75,0.0566,0.0915,-7.452,0.0517,148.871,0.795,34
World,Hillsong Worship,0.0158,0.424,334680,0.456,0.0,0.0872,-6.356,0.0271,157.932,0.134,29
Country,Curtis Grimes,0.211,0.66,185973,0.828,1.57e-06,0.11,-4.531,0.0331,102.044,0.553,37
R&B,Mariah Carey,0.07,0.701,207587,0.691,0.0,0.844,-5.937,0.0808,131.843,0.587,58
Folk,Linda Ronstadt,0.739,0.732,239400,0.161,0.000379,0.105,-12.817,0.0306,95.21,0.5,64
Pop,NEEDTOBREATHE,0.227,0.511,294200,0.8,0.000345,0.112,-4.759,0.0622,114.042,0.531,61
Rock,Bruce Springsteen,0.589,0.62,155880,0.446,0.0299,0.0727,-14.451,0.0347,88.591,0.868,72
Opera,Ruggero Leoncavallo,0.967,,129440,0.486,5.63e-05,0.0931,-8.735,0.0393,91.358,0.189,8
Opera,Giuseppe Verdi,0.877,0.267,140467,0.347,0.84,0.0704,-15.015,0.0427,80.323,0.0776,21
Electronic,Getter,0.0116,0.721,141972,0.899,2.51e-05,0.126,-4.07,0.057,142.018,0.0385,49
Pop,Meek Mill,0.0581,0.763,234589,0.441,0.0,0.0458,-8.211,0.256,86.093,0.538,74
Reggaeton,Pasabordo,0.301,0.79,218320,0.725,0.0,0.132,-7.805,0.0765,96.024,0.596,50
Hip-Hop,Tech N9ne,0.0208,0.603,234147,0.944,0.0,0.384,-4.086,0.389,168.084,0.674,51
Comedy,Ryan Stout,0.792,0.577,86667,0.861,2.62e-05,0.78,-11.039,0.893,88.156,0.258,12
Children’s Music,Death Grips,0.00187,0.317,161133,0.853,0.000702,0.254,-2.751,0.186,103.37,0.487,49
Indie,Matt and Kim,0.0945,0.701,133267,0.655,2.97e-05,0.15,-6.904,0.0346,97.98,0.784,54
Jazz,Keith Jarrett,0.959,0.392,376546,0.119,0.682,0.0972,-18.487,0.039,103.886,0.179,45
Blues,Steely Dan,0.128,0.54,318360,0.772,0.00589,0.0753,-11.172,0.0455,109.802,0.811,44
Classical,Johann Sebastian Bach,0.987,0.52,296907,0.0272,0.906,0.108,-26.404,0.0511,70.299,0.545,40
World,Ryuichi Sakamoto,0.876,0.153,73242,0.037,0.947,0.0938,-28.626,0.0328,66.901,0.101,26
Pop,The Him,0.124,0.605,161520,0.733,0.0,0.0786,-4.684,0.0616,125.029,0.489,69
Opera,Gaetano Donizetti,0.979,0.291,207733,0.203,1.54e-05,0.0827,-16.514,0.0531,75.358,0.0638,30
Soundtrack,Ludwig Goransson,0.523,0.289,210094,0.577,0.857,0.19,-13.378,0.16,171.83,0.15,38
Children’s Music,Third Eye Blind,0.000904,0.498,187667,0.913,0.0,0.0902,-4.805,0.0446,89.359,0.45,53
Alternative,American Football,0.0171,0.436,268333,0.819,0.00882,0.117,-6.71,0.036,144.26,0.405,53
Children’s Music,Korn,0.00277,0.697,232600,0.808,0.00258,0.0509,-6.803,0.203,95.841,0.54,51
Rap,Kanye West,0.115,0.609,256587,0.746,0.0087,0.427,-5.249,0.184,117.072,0.277,63
Classical,Wolfgang Amadeus Mozart,0.991,0.386,224147,0.184,0.922,0.122,-21.549,0.036,140.532,0.611,25
Electronic,Excision,0.00364,0.368,217600,0.953,0.29,0.652,-1.877,0.571,74.928,0.237,27
Movie,Dorothée,0.325,0.824,154840,0.782,0.0,0.138,-7.899,0.0354,144.493,0.964,30
R&B,Destiny's Child,0.000238,0.617,245600,0.575,0.053,0.0542,-5.212,0.0363,72.188,0.278,44
Ska,The Bouncing Souls,0.000195,0.22,83293,0.966,0.0,0.305,-4.005,0.173,194.182,0.595,23
Alternative,Saliva,0.0122,0.363,231200,0.906,0.0,0.172,-4.415,0.0615,181.964,0.371,59
Reggaeton,Baby Rasta,0.111,0.767,256757,0.758,0.0,0.376,-8.116,0.295,76.498,0.84,57
Alternative,Rise Against,0.000123,0.336,237480,0.951,0.00108,0.0333,-3.587,0.0707,108.043,0.596,55
Hip-Hop,Thug Life,0.0677,0.81,232947,0.614,0.0,0.356,-7.41,0.157,87.03,0.431,51
Pop,Slushii,0.192,0.67,162538,0.672,5.13e-05,0.0926,-3.469,0.0923,165.075,0.643,67
Hip-Hop,Key Glock,0.0246,0.824,177872,0.747,0.0,0.117,-4.594,0.373,149.018,0.498,58
Ska,Maldita Vecindad Y Los Hijos Del 5to. Patio,0.13,0.851,217427,0.587,0.00103,0.0488,-9.391,0.0521,108.164,0.763,34
Jazz,Roy Ayers,0.138,0.694,515840,0.598,0.00269,0.345,-8.177,0.04,108.633,0.962,40
World,Chris Quilala,0.501,0.245,391400,0.467,0.0471,0.0628,-12.036,0.0368,127.494,0.0367,27
Dance,R3HAB,0.211,0.748,158062,0.406,0.0,0.042,-7.462,0.0343,79.988,0.386,58
